Date_Installed	Segment_of_Use	Cost_Per_Watt	Avg_System_Size_Kw	Installation_Count	Total_Production_kWh
1/3/2000	Unknown/Other	9.00	5.8928	2	2761.382447
1/20/2000	Unknown/Other	9.00	3.57095	24	133709.0249
1/26/2000	Unknown/Other	10.00	31.0119	4	187732.22
2/3/2000	Unknown/Other	10.00	2.27856	5	17630.57252
3/9/2000	Unknown/Other	9.00	9.61785	8	120995.9747
3/28/2000	Unknown/Other	11.00	2.6937	12	50433.54904
3/30/2000	Unknown/Other	7.00	14.5008	4	94618.59057
4/18/2000	Unknown/Other	10.00	1.9354	6	16271.55166
4/27/2000	Unknown/Other	9.00	6.5106	2	20136.93611
5/9/2000	Unknown/Other	8.00	1.8852	1	3012.157694
5/15/2000	Unknown/Other	7.00	3.5349	4	22300.14705
5/16/2000	Unknown/Other	11.00	1.2264	1	1588.262704
6/1/2000	Unknown/Other	6.00	1.6704	2	5215.504063
6/12/2000	Unknown/Other	9.00	1.224	4	5870.345764
6/28/2000	Unknown/Other	9.00	2.82408	5	21892.92129
6/30/2000	Unknown/Other	19.00	3.6	1	4585.824756
7/7/2000	Unknown/Other	5.00	3.66	1	5660.091709
7/31/2000	Unknown/Other	21.00	3.6	1	4585.824756
8/2/2000	Unknown/Other	10.00	4.09785	8	47797.04487
8/16/2000	Unknown/Other	8.00	4.1116	3	18845.70244
8/30/2000	Unknown/Other	12.00	3.55	2	9044.265491
9/5/2000	Unknown/Other	6.00	2.8818	2	8787.783194
9/11/2000	Unknown/Other	10.00	2.4976	6	24516.52073
9/14/2000	Unknown/Other	8.00	6.499542857	7	70520.59061
9/22/2000	Unknown/Other	9.00	4.135152	10	58602.15895
9/25/2000	Unknown/Other	8.00	1.86296	15	43040.05175
10/3/2000	Unknown/Other	8.00	3.1482	6	29904.87349
10/13/2000	Unknown/Other	8.00	3.09384	5	21162.59076
10/15/2000	Unknown/Other	12.00	2.88	1	3746.811445
10/20/2000	Unknown/Other	8.00	1.63	3	7562.253678
10/24/2000	Unknown/Other	8.00	1.8642	4	11487.56525
10/27/2000	Unknown/Other	7.00	4.52112	5	35231.01006
10/31/2000	Unknown/Other	7.00	3.65576	3	17248.52804
11/7/2000	Unknown/Other	8.00	4.926620571	7	53681.37455
11/15/2000	Unknown/Other	8.00	1.5228	2	5462.001793
11/16/2000	Unknown/Other	9.00	2.4371256	5	16218.89391
11/20/2000	Unknown/Other	8.00	3.038004	2	9590.816153
11/28/2000	Unknown/Other	7.00	2.195823	4	13989.03609
11/29/2000	Unknown/Other	11.00	2.433864	10	38934.05442
11/30/2000	Unknown/Other	16.00	2	1	2547.68042
12/6/2000	Unknown/Other	10.00	1.23414	4	7712.455449
12/14/2000	Unknown/Other	8.00	3.0023184	5	23210.59559
12/19/2000	Unknown/Other	9.00	2.533244	6	24186.66464
12/27/2000	Unknown/Other	7.00	4.425744	5	34405.5619
12/28/2000	Unknown/Other	7.00	2.39718	2	7598.585953
1/4/2001	Unknown/Other	6.00	2.623296	2	8244.849814
1/18/2001	Unknown/Other	7.00	1.918614	16	48402.43016
1/22/2001	Unknown/Other	8.00	3.545445	4	22079.32803
1/25/2001	Unknown/Other	7.00	5.880292	3	27423.00949
2/7/2001	Unknown/Other	9.00	8.6796	1	13422.76831
2/20/2001	Unknown/Other	8.00	3.0760884	10	48225.13989
2/22/2001	Unknown/Other	6.00	51.055692	9	719497.9602
3/5/2001	Unknown/Other	9.00	2.237302	12	41989.31628
3/13/2001	Unknown/Other	8.00	2.524614	6	24779.84887
3/14/2001	Unknown/Other	9.00	2.692173	4	16662.25286
3/19/2001	Unknown/Other	8.00	17.66239733	9	246332.957
3/21/2001	Unknown/Other	8.00	2.796942	12	42499.60759
3/28/2001	Unknown/Other	8.00	2.9235	5	22725.55508
4/2/2001	Unknown/Other	6.00	3.160866	4	20078.12284
4/3/2001	Unknown/Other	6.00	1.20528	1	1863.933152
4/6/2001	Unknown/Other	10.00	4.9704	1	7941.665925
4/9/2001	Unknown/Other	8.00	3.0682272	2	9647.40596
4/12/2001	Unknown/Other	8.00	2.3150304	5	18197.29548
4/17/2001	Unknown/Other	11.00	4.1343144	10	63523.02089
4/26/2001	Unknown/Other	9.00	4.993438	6	46560.11094
4/30/2001	Unknown/Other	21.00	2.1	1	2675.064441
5/2/2001	Unknown/Other	9.00	2.6537504	15	52349.12846
5/8/2001	Unknown/Other	7.00	3.549915	8	44972.56102
5/11/2001	Unknown/Other	9.00	3.3271788	4	20958.82864
5/16/2001	Unknown/Other	8.00	3.120904	9	43765.49104
5/24/2001	Unknown/Other	8.00	3.557604	15	81400.24245
5/30/2001	Unknown/Other	8.00	2.954146909	11	51777.52063
6/8/2001	Unknown/Other	8.00	2.164391077	13	41981.34197
6/19/2001	Unknown/Other	11.00	1.904067	4	11811.59485
6/25/2001	Unknown/Other	8.00	3.719306182	22	126546.4793
6/27/2001	Unknown/Other	8.00	3.582438	10	57111.14776
6/30/2001	Unknown/Other	19.00	2.1	2	5443.90354
7/3/2001	Unknown/Other	9.00	2.837776133	18	78755.66712
7/11/2001	Unknown/Other	10.00	2.696316	13	54740.21522
7/12/2001	Unknown/Other	10.00	3.0372096	5	22837.44589
7/16/2001	Unknown/Other	9.00	2.542365	8	28064.45561
7/17/2001	Unknown/Other	9.00	3.9096	1	7011.505847
7/18/2001	Unknown/Other	8.00	3.301911429	7	32634.11444
7/19/2001	Unknown/Other	9.00	3.005064	8	39303.76854
7/25/2001	Unknown/Other	9.00	3.692818286	28	161436.7741
7/26/2001	Unknown/Other	9.00	3.611667	4	23675.96013
7/27/2001	Unknown/Other	7.00	2.3130176	3	10794.13161
8/7/2001	Unknown/Other	8.00	2.837086957	23	102165.3477
8/8/2001	Unknown/Other	7.00	3.602838857	7	31646.91418
8/9/2001	Unknown/Other	7.00	3.094136	3	14341.07957
8/13/2001	Unknown/Other	10.00	2.962588	9	41401.63815
8/15/2001	Unknown/Other	9.00	3.622251429	7	38854.85197
8/16/2001	Unknown/Other	9.00	2.857317818	11	48808.26722
8/20/2001	Unknown/Other	9.00	2.885396182	22	97535.7773
8/23/2001	Unknown/Other	8.00	2.505354	12	42935.63142
8/27/2001	Unknown/Other	8.00	2.970402462	13	59577.27878
8/31/2001	Unknown/Other	8.00	3.803742	8	47910.80231
9/4/2001	Unknown/Other	9.00	3.818650286	14	82817.24119
9/6/2001	Unknown/Other	8.00	2.7464025	8	34095.29817
9/10/2001	Unknown/Other	8.00	3.131974154	13	64687.31875
9/13/2001	Unknown/Other	8.00	3.5263632	10	54750.5595
9/18/2001	Unknown/Other	9.00	2.977942286	14	63167.24737
9/25/2001	Unknown/Other	8.00	3.27335424	15	77230.24405
10/1/2001	Unknown/Other	9.00	3.093886	30	143578.2881
10/2/2001	Unknown/Other	6.00	4.7688	1	7201.690756
10/4/2001	Unknown/Other	8.00	2.9473384	15	65459.85868
10/5/2001	Unknown/Other	9.00	3.404409391	23	123044.5709
10/11/2001	Unknown/Other	9.00	4.161364621	58	351105.1643
10/16/2001	Unknown/Other	8.00	3.603390667	18	102853.0233
10/19/2001	Unknown/Other	10.00	2.858912	3	13449.73342
10/23/2001	Unknown/Other	9.00	3.150793714	35	157066.8671
10/24/2001	Unknown/Other	9.00	6.6072	2	20967.68472
10/25/2001	Unknown/Other	9.00	3.950994	12	74533.91256
10/26/2001	Unknown/Other	11.00	3.632022857	7	28381.76353
10/31/2001	Unknown/Other	12.00	6.5	2	16813.67285
11/1/2001	Unknown/Other	9.00	3.849743613	31	178772.8113
11/6/2001	Unknown/Other	9.00	4.538867182	44	311378.5192
11/8/2001	Unknown/Other	9.00	3.41700705	48	251720.9652
11/13/2001	Unknown/Other	9.00	3.091781333	9	43647.7215
11/14/2001	Unknown/Other	9.00	3.728848714	28	151720.9425
11/15/2001	Unknown/Other	9.00	2.608880308	26	103325.0828
11/16/2001	Unknown/Other	8.00	4.0989864	30	192343.3743
11/20/2001	Unknown/Other	8.00	3.935244	37	219892.1369
11/21/2001	Unknown/Other	11.00	2.9859	4	18822.44143
11/27/2001	Unknown/Other	9.00	3.393369429	42	205198.7312
11/29/2001	Unknown/Other	8.00	3.907030182	33	184887.672
11/30/2001	Unknown/Other	9.00	7.406134	8	83827.95443
12/3/2001	Unknown/Other	9.00	4.087704	5	32531.36991
12/5/2001	Unknown/Other	11.00	2.8614	1	3705.687297
12/7/2001	Unknown/Other	9.00	3.0456	1	4788.129705
12/10/2001	Unknown/Other	9.00	3.913396851	47	269365.1652
12/11/2001	Unknown/Other	9.00	3.0817995	8	37004.52566
12/12/2001	Unknown/Other	8.00	5.66012	6	53197.50105
12/14/2001	Unknown/Other	10.00	3.07575	8	38289.37473
12/17/2001	Unknown/Other	9.00	3.158436545	22	105017.9046
12/19/2001	Unknown/Other	8.00	3.059865429	14	66979.32763
12/20/2001	Unknown/Other	7.00	4.571536	3	21466.82638
12/21/2001	Unknown/Other	7.00	4.59786	1	7346.42445
12/24/2001	Unknown/Other	10.00	1.65888	1	2148.350648
12/26/2001	Unknown/Other	10.00	4.53036048	25	173224.905
12/27/2001	Unknown/Other	9.00	3.554478873	22	123208.9323
12/28/2001	Unknown/Other	14.00	7.296912	1	11284.47845
12/30/2001	Unknown/Other	12.00	2.4	1	3057.216504
12/31/2001	Unknown/Other	10.00	4.389770222	18	115421.2876
1/2/2002	Unknown/Other	10.00	2.89407	8	36589.61268
1/3/2002	Unknown/Other	9.00	3.1774032	10	47877.8218
1/4/2002	Unknown/Other	9.00	3.778566545	11	64565.99792
1/7/2002	Unknown/Other	9.00	2.29883475	16	53010.35748
1/10/2002	Unknown/Other	10.00	3.529037846	13	66409.08713
1/11/2002	Unknown/Other	9.00	2.999508444	9	42404.11306
1/14/2002	Unknown/Other	9.00	6.0484324	20	157235.8667
1/15/2002	Unknown/Other	8.00	3.625422	10	56160.40619
1/16/2002	Unknown/Other	9.00	4.173992571	14	91807.46857
1/17/2002	Unknown/Other	8.00	4.796334	10	74669.55861
1/18/2002	Unknown/Other	11.00	3.106464	9	42997.00151
1/22/2002	Unknown/Other	8.00	2.36472	8	29827.68054
1/23/2002	Unknown/Other	8.00	2.69515	6	26592.55199
1/24/2002	Unknown/Other	9.00	2.597442	4	16412.95436
1/25/2002	Unknown/Other	9.00	3.630785455	11	62323.1561
1/28/2002	Unknown/Other	9.00	2.987533846	13	59175.31739
1/29/2002	Unknown/Other	8.00	3.910518462	13	78825.22625
1/31/2002	Unknown/Other	9.00	3.996339778	18	108614.6173
2/1/2002	Unknown/Other	9.00	9.667415556	18	299113.9415
2/4/2002	Unknown/Other	9.00	3.961992	2	12440.34051
2/5/2002	Unknown/Other	9.00	4.126658182	22	141296.2786
2/6/2002	Unknown/Other	10.00	5.054741333	9	67780.83208
2/8/2002	Unknown/Other	9.00	3.457193176	17	92037.95357
2/11/2002	Unknown/Other	10.00	2.8896	1	4468.688798
2/14/2002	Unknown/Other	9.00	5.023648	12	94654.35957
2/15/2002	Unknown/Other	8.00	3.595269091	11	60242.16739
2/19/2002	Unknown/Other	9.00	3.5769225	16	80778.72944
2/20/2002	Unknown/Other	9.00	3.253944	9	45126.48687
2/21/2002	Unknown/Other	9.00	4.180576	15	83459.28593
2/22/2002	Unknown/Other	9.00	4.006526857	21	132057.8282
2/25/2002	Unknown/Other	9.00	4.812548571	7	52606.24276
2/26/2002	Unknown/Other	8.00	2.54448	4	15531.11958
2/27/2002	Unknown/Other	10.00	3.82992	11	63105.39136
2/28/2002	Unknown/Other	9.00	3.50674725	16	87464.78983
3/1/2002	Unknown/Other	10.00	2.614664	9	36695.75688
3/4/2002	Unknown/Other	10.00	1.965	2	5982.883905
3/6/2002	Unknown/Other	8.00	3.957424615	13	77022.71145
3/7/2002	Unknown/Other	10.00	3.9573	4	24374.13376
3/8/2002	Unknown/Other	7.00	5.3536	3	25197.5802
3/11/2002	Unknown/Other	8.00	0.98568	9	13718.94884
3/12/2002	Unknown/Other	8.00	2.377508533	15	55446.46157
3/13/2002	Unknown/Other	7.00	3.97194	12	73860.55779
3/15/2002	Unknown/Other	9.00	4.635024114	14	101790.3019
3/18/2002	Unknown/Other	9.00	3.324859636	11	56883.9828
3/19/2002	Unknown/Other	9.00	4.297724571	14	94618.64748
3/20/2002	Unknown/Other	11.00	2.286426667	12	42587.64221
3/21/2002	Unknown/Other	8.00	5.2596528	10	53860.64187
3/22/2002	Unknown/Other	10.00	3.5792025	16	87712.36471
3/26/2002	Unknown/Other	9.00	3.685817143	7	40603.45633
3/27/2002	Unknown/Other	10.00	6.985033333	6	46228.41606
3/28/2002	Unknown/Other	9.00	3.7032	4	22967.62302
3/29/2002	Unknown/Other	9.00	3.982763636	11	68408.82468
4/2/2002	Unknown/Other	11.00	2.9475	2	9227.368543
4/3/2002	Unknown/Other	8.00	3.396098105	38	201047.6315
4/5/2002	Unknown/Other	9.00	4.359812	9	60764.4844
4/8/2002	Unknown/Other	8.00	5.7468	1	8887.271867
4/10/2002	Unknown/Other	7.00	3.544508	9	48920.38391
4/12/2002	Unknown/Other	9.00	5.1706	6	48338.14582
4/15/2002	Unknown/Other	9.00	5.95696	6	55603.53273
4/16/2002	Unknown/Other	9.00	3.071578182	11	45028.5633
4/17/2002	Unknown/Other	10.00	4.617997143	7	50324.5769
4/18/2002	Unknown/Other	9.00	8.723548	10	135273.3638
4/22/2002	Unknown/Other	9.00	4.892407429	7	55143.60549
4/24/2002	Unknown/Other	9.00	5.860989474	19	175049.3219
4/26/2002	Unknown/Other	9.00	4.6785346	20	145245.9488
4/29/2002	Unknown/Other	9.00	4.281706667	9	59888.56053
4/30/2002	Unknown/Other	11.00	5.295	2	16307.09684
5/1/2002	Unknown/Other	13.00	1.4034	2	4238.740483
5/2/2002	Unknown/Other	9.00	4.8993	34	196942.7562
5/3/2002	Unknown/Other	9.00	3.742866667	6	34467.80068
5/6/2002	Unknown/Other	9.00	4.53398	10	69883.51681
5/7/2002	Unknown/Other	11.00	11.55040185	13	235319.384
5/9/2002	Unknown/Other	9.00	4.3144608	15	99701.72857
5/10/2002	Unknown/Other	8.00	3.36	2	10985.2466
5/13/2002	Unknown/Other	9.00	4.366424	5	33277.29006
5/14/2002	Unknown/Other	9.00	4.026533333	9	55933.26717
5/15/2002	Unknown/Other	9.00	11.30726889	18	327089.0256
5/17/2002	Unknown/Other	9.00	3.66026035	24	136588.1842
5/20/2002	Unknown/Other	8.00	4.636	8	56778.62739
5/21/2002	Unknown/Other	9.00	3.92544	11	67435.96066
5/23/2002	Unknown/Other	9.00	4.55713056	25	179030.0759
5/24/2002	Unknown/Other	8.00	4.1561205	8	51494.97212
5/28/2002	Unknown/Other	8.00	2.4372	3	11698.12334
5/30/2002	Unknown/Other	10.00	4.568742857	14	99945.69675
5/31/2002	Unknown/Other	10.00	0.8	1	1336.003027
6/3/2002	Unknown/Other	10.00	4.2462	2	13459.00897
